"restaurant_id","restaurant_name","city","rating","revenue","total_orders"
35,"Flavours of India 35","Delhi","3.90","6658.59","5"
177,"Chutney Express 177","Mumbai","4.20","6648.56","5"
233,"Punjabi Dhaba 233","Mumbai","3.20","6567.24","5"
291,"South Spice 291","Mumbai","3.40","6539.18","4"
164,"Mughal Mahal 164","Mumbai","4.10","6519.98","4"
269,"Urban Tadka 269","Kolkata","5.00","6514.41","5"
90,"The Food Studio 90","Mumbai","3.20","6476.27","4"
88,"Burger Factory 88","Kolkata","4.30","6297.51","5"
218,"Annapurna Bhavan 218","Chennai","4.20","6292.83","4"
196,"Punjabi Dhaba 196","Bangalore","3.60","6271.64","4"
69,"Masala Magic 69","Chennai","3.80","6266.34","4"
293,"Golden Spoon 293","Kolkata","3.50","6241.83","4"
135,"Mumbai Masala 135","Mumbai","3.60","6176.70","6"
292,"Burger Factory 292","Chennai","4.40","6170.30","3"
52,"Dragon Wok 52","Mumbai","3.10","6141.66","5"
12,"Curry Kingdom 12","Chennai","4.10","6136.88","5"
85,"The Hungry Panda 85","Bangalore","4.90","6110.71","5"
79,"Dragon Wok 79","Kolkata","3.60","6104.44","5"
104,"The Food Studio 104","Chennai","4.50","6095.20","6"
251,"Flavours of India 251","Bangalore","3.20","6030.77","5"
91,"Curry Kingdom 91","Kolkata","3.50","6016.86","4"
60,"Chai & Chat 60","Delhi","3.80","6008.48","4"
230,"The Curry Leaf 230","Bangalore","3.60","5974.01","4"
236,"Burger Factory 236","Kolkata","3.90","5930.62","4"
268,"The Hungry Panda 268","Bangalore","3.60","5905.06","4"
122,"Kolkata Kitchen 122","Mumbai","3.90","5891.62","4"
84,"Dragon Wok 84","Delhi","4.10","5886.62","5"
24,"Delhi Darbar 24","Kolkata","3.60","5863.55","3"
219,"South Spice 219","Delhi","3.30","5813.48","3"
34,"South Spice 34","Kolkata","4.50","5793.37","5"
96,"Mumbai Masala 96","Mumbai","5.00","5772.33","6"
3,"South Spice 3","Kolkata","4.20","5731.05","3"
44,"Golden Spoon 44","Delhi","4.50","5708.91","5"
267,"Taste of Punjab 267","Chennai","4.90","5697.45","6"
203,"Golden Spoon 203","Kolkata","3.70","5692.39","5"
193,"The Curry Leaf 193","Chennai","4.20","5691.44","4"
73,"Kolkata Kitchen 73","Bangalore","3.10","5650.35","5"
133,"Biryani House 133","Bangalore","4.30","5538.42","5"
228,"Pizza Junction 228","Delhi","3.00","5537.71","5"
145,"South Spice 145","Kolkata","4.20","5493.93","3"
143,"Royal Tandoor 143","Kolkata","4.80","5409.79","4"
226,"Mumbai Masala 226","Mumbai","3.40","5377.35","4"
40,"Pizza Junction 40","Kolkata","4.20","5333.85","5"
243,"South Spice 243","Bangalore","3.10","5328.49","4"
179,"Curry Kingdom 179","Kolkata","4.90","5274.47","4"
77,"The Food Studio 77","Kolkata","4.20","5228.25","5"
214,"Chai & Chat 214","Chennai","4.70","5223.16","3"
223,"Annapurna Bhavan 223","Chennai","3.60","5209.31","5"
54,"Royal Tandoor 54","Bangalore","4.00","5206.84","4"
167,"Taste of Punjab 167","Chennai","3.10","5153.39","5"
46,"The Hungry Panda 46","Kolkata","4.90","5077.01","3"
67,"Golden Spoon 67","Mumbai","4.80","5049.71","5"
232,"Caf̩ Masaledar 232","Bangalore","4.20","4988.42","4"
238,"Masala Magic 238","Kolkata","4.00","4949.20","3"
25,"Chai & Chat 25","Chennai","4.80","4910.43","3"
150,"Rasoi Ghar 150","Bangalore","4.00","4845.14","4"
255,"Golden Spoon 255","Chennai","3.40","4782.22","4"
31,"Bombay Bistro 31","Chennai","3.10","4735.75","6"
127,"Tandoori Nights 127","Chennai","4.50","4727.45","3"
274,"Taste of Punjab 274","Chennai","3.60","4711.23","4"
117,"Masala Magic 117","Delhi","4.20","4704.60","4"
278,"Curry Kingdom 278","Chennai","4.10","4661.41","4"
94,"The Food Studio 94","Delhi","4.30","4605.59","4"
115,"Annapurna Bhavan 115","Kolkata","4.90","4588.65","4"
286,"Urban Tadka 286","Mumbai","3.20","4587.98","3"
205,"Mughal Mahal 205","Bangalore","3.50","4586.87","4"
297,"Dragon Wok 297","Bangalore","4.90","4564.41","3"
140,"Golden Spoon 140","Chennai","3.30","4557.62","4"
16,"Taste of Punjab 16","Delhi","3.60","4522.62","3"
95,"Rasoi Ghar 95","Bangalore","3.00","4502.08","3"
21,"Masala Magic 21","Kolkata","4.40","4496.29","3"
148,"Pizza Junction 148","Chennai","4.50","4484.77","4"
195,"Flavours of India 195","Mumbai","3.40","4410.94","3"
47,"Caf̩ Masaledar 47","Kolkata","4.40","4406.02","4"
239,"Biryani House 239","Kolkata","4.80","4390.06","4"
4,"Royal Tandoor 4","Delhi","3.40","4359.09","3"
220,"Dragon Wok 220","Bangalore","5.00","4343.35","3"
99,"The Food Studio 99","Mumbai","3.10","4317.79","3"
126,"Annapurna Bhavan 126","Bangalore","3.30","4305.80","3"
159,"Spice Villa 159","Bangalore","4.50","4300.69","4"
118,"Chutney Express 118","Bangalore","4.20","4286.45","3"
181,"Delhi Darbar 181","Delhi","4.40","4215.27","2"
207,"Pizza Junction 207","Mumbai","3.40","4200.31","3"
244,"Mumbai Masala 244","Mumbai","4.00","4171.86","4"
263,"Rasoi Ghar 263","Chennai","3.50","4130.07","4"
154,"The Curry Leaf 154","Chennai","3.30","4112.64","4"
250,"Rasoi Ghar 250","Kolkata","3.90","4065.79","4"
248,"Taste of Punjab 248","Mumbai","3.80","4061.20","4"
