"restaurant_id","restaurant_name","city","rating","revenue","total_orders","revenue_rank","revenue_percentage","revenue_vs_avg"
128,"Bombay Bistro 128","Kolkata","3.60","3377.89","2","168","0.28","-672.89"
19,"Chai & Chat 19","Delhi","4.30","3342.24","2","169","0.28","-708.54"
26,"Chai & Chat 26","Chennai","3.50","3329.29","2","170","0.28","-721.49"
138,"Biryani House 138","Chennai","4.80","3294.28","2","171","0.28","-756.50"
211,"Bombay Bistro 211","Bangalore","4.40","3284.93","3","172","0.28","-765.85"
191,"Rasoi Ghar 191","Kolkata","3.60","3284.28","3","173","0.28","-766.50"
38,"Curry Kingdom 38","Bangalore","4.00","3254.68","2","174","0.27","-796.10"
170,"Rasoi Ghar 170","Chennai","4.70","3238.72","3","175","0.27","-812.06"
287,"Curry Kingdom 287","Delhi","3.30","3219.81","2","176","0.27","-830.97"
175,"Saffron Delight 175","Chennai","3.20","3214.93","3","177","0.27","-835.85"
97,"Bombay Bistro 97","Chennai","4.40","3167.79","4","178","0.27","-882.99"
17,"Chai & Chat 17","Bangalore","3.70","3156.61","5","179","0.27","-894.17"
102,"Caf̩ Masaledar 102","Delhi","3.40","3135.88","2","180","0.26","-914.90"
169,"Flavours of India 169","Chennai","4.50","3132.70","2","181","0.26","-918.08"
256,"Pizza Junction 256","Mumbai","3.90","3077.58","2","182","0.26","-973.20"
277,"Saffron Delight 277","Kolkata","3.70","3062.05","2","183","0.26","-988.73"
294,"Chai & Chat 294","Bangalore","3.50","3020.34","4","184","0.25","-1030.44"
190,"Punjabi Dhaba 190","Kolkata","3.90","2962.98","3","185","0.25","-1087.80"
187,"Curry Kingdom 187","Chennai","4.30","2892.83","2","186","0.24","-1157.95"
204,"Kolkata Kitchen 204","Kolkata","3.70","2883.38","4","187","0.24","-1167.40"
257,"Madras Cafe 257","Chennai","3.10","2874.00","2","188","0.24","-1176.78"
289,"Royal Tandoor 289","Bangalore","3.70","2857.70","2","189","0.24","-1193.08"
27,"The Curry Leaf 27","Kolkata","3.50","2846.15","2","190","0.24","-1204.63"
32,"Annapurna Bhavan 32","Kolkata","4.10","2814.75","2","191","0.24","-1236.03"
222,"Punjabi Dhaba 222","Kolkata","4.60","2798.23","2","192","0.24","-1252.55"
121,"Spice Villa 121","Kolkata","4.40","2757.35","2","193","0.23","-1293.43"
33,"Pizza Junction 33","Delhi","4.40","2755.36","4","194","0.23","-1295.42"
132,"The Hungry Panda 132","Chennai","3.30","2712.52","2","195","0.23","-1338.26"
185,"South Spice 185","Bangalore","4.00","2695.82","3","196","0.23","-1354.96"
260,"Biryani House 260","Mumbai","3.90","2637.30","2","197","0.22","-1413.48"
270,"Golden Spoon 270","Mumbai","4.10","2633.55","4","198","0.22","-1417.23"
98,"Pizza Junction 98","Delhi","3.20","2588.98","3","199","0.22","-1461.80"
101,"Saffron Delight 101","Delhi","3.70","2558.36","3","200","0.22","-1492.42"
18,"Delhi Darbar 18","Bangalore","4.90","2543.11","3","201","0.21","-1507.67"
180,"Dragon Wok 180","Chennai","4.90","2531.56","3","202","0.21","-1519.22"
183,"Urban Tadka 183","Kolkata","4.60","2517.46","3","203","0.21","-1533.32"
111,"Caf̩ Masaledar 111","Chennai","3.60","2506.03","2","204","0.21","-1544.75"
59,"Mughal Mahal 59","Delhi","4.30","2434.58","2","205","0.21","-1616.20"
58,"Curry Kingdom 58","Chennai","3.80","2434.00","2","206","0.21","-1616.78"
264,"Pizza Junction 264","Mumbai","3.40","2424.52","3","207","0.20","-1626.26"
130,"Tandoori Nights 130","Kolkata","4.30","2416.39","2","208","0.20","-1634.39"
275,"Golden Spoon 275","Chennai","5.00","2374.23","3","209","0.20","-1676.55"
125,"The Hungry Panda 125","Bangalore","3.80","2361.01","2","210","0.20","-1689.77"
100,"Chutney Express 100","Kolkata","3.30","2318.46","3","211","0.20","-1732.32"
266,"Taste of Punjab 266","Delhi","4.50","2236.04","2","212","0.19","-1814.74"
202,"The Curry Leaf 202","Bangalore","4.20","2233.16","1","213","0.19","-1817.62"
141,"Madras Cafe 141","Delhi","4.60","2221.07","3","214","0.19","-1829.71"
43,"The Food Studio 43","Kolkata","3.20","2182.36","1","215","0.18","-1868.42"
171,"Golden Spoon 171","Delhi","4.10","2138.26","1","216","0.18","-1912.52"
160,"Taste of Punjab 160","Chennai","4.50","2134.64","2","217","0.18","-1916.14"
87,"Bombay Bistro 87","Chennai","4.40","2129.05","2","218","0.18","-1921.73"
163,"Flavours of India 163","Chennai","3.30","2120.49","1","219","0.18","-1930.29"
8,"Bombay Bistro 8","Chennai","3.60","2117.14","3","220","0.18","-1933.64"
108,"Taste of Punjab 108","Mumbai","3.30","2115.30","3","221","0.18","-1935.48"
14,"Madras Cafe 14","Delhi","4.30","2105.12","2","222","0.18","-1945.66"
119,"The Hungry Panda 119","Delhi","4.80","2079.63","1","223","0.18","-1971.15"
123,"South Spice 123","Bangalore","3.60","2077.05","2","224","0.18","-1973.73"
107,"Kolkata Kitchen 107","Bangalore","4.60","2029.09","2","225","0.17","-2021.69"
50,"Mughal Mahal 50","Delhi","3.40","2013.08","5","226","0.17","-2037.70"
281,"Masala Magic 281","Bangalore","4.40","2012.05","4","227","0.17","-2038.73"
62,"Pizza Junction 62","Chennai","3.80","1982.68","3","228","0.17","-2068.10"
227,"South Spice 227","Delhi","3.50","1919.07","1","229","0.16","-2131.71"
149,"Golden Spoon 149","Chennai","4.50","1899.37","2","230","0.16","-2151.41"
299,"Delhi Darbar 299","Chennai","3.20","1864.71","1","231","0.16","-2186.07"
45,"Saffron Delight 45","Chennai","3.30","1854.71","2","232","0.16","-2196.07"
37,"Masala Magic 37","Kolkata","4.00","1842.53","1","233","0.16","-2208.25"
139,"Dragon Wok 139","Mumbai","4.40","1830.72","2","234","0.15","-2220.06"
6,"Madras Cafe 6","Kolkata","3.40","1827.22","2","235","0.15","-2223.56"
110,"Taste of Punjab 110","Chennai","3.40","1825.52","1","236","0.15","-2225.26"
105,"Caf̩ Masaledar 105","Mumbai","5.00","1820.26","2","237","0.15","-2230.52"
129,"Pizza Junction 129","Delhi","3.60","1771.41","2","238","0.15","-2279.37"
194,"Annapurna Bhavan 194","Bangalore","4.00","1689.42","2","239","0.14","-2361.36"
64,"Biryani House 64","Chennai","3.20","1661.39","1","240","0.14","-2389.39"
210,"Curry Kingdom 210","Mumbai","3.50","1572.84","4","241","0.13","-2477.94"
247,"Tandoori Nights 247","Bangalore","4.30","1546.11","2","242","0.13","-2504.67"
11,"Punjabi Dhaba 11","Delhi","3.90","1506.56","2","243","0.13","-2544.22"
7,"Dragon Wok 7","Bangalore","4.50","1494.43","2","244","0.13","-2556.35"
231,"Taste of Punjab 231","Chennai","4.40","1491.62","2","245","0.13","-2559.16"
15,"Mumbai Masala 15","Bangalore","4.70","1491.48","1","246","0.13","-2559.30"
72,"Royal Tandoor 72","Kolkata","4.10","1489.40","1","247","0.13","-2561.38"
1,"Chai & Chat 1","Delhi","4.50","1433.17","2","248","0.12","-2617.61"
192,"The Curry Leaf 192","Delhi","4.80","1334.08","1","249","0.11","-2716.70"
298,"Madras Cafe 298","Bangalore","4.70","1295.28","1","250","0.11","-2755.50"
144,"Curry Kingdom 144","Chennai","4.60","1287.38","1","251","0.11","-2763.40"
208,"Golden Spoon 208","Bangalore","4.20","1245.43","2","252","0.10","-2805.35"
39,"Delhi Darbar 39","Mumbai","4.50","1233.32","2","253","0.10","-2817.46"
258,"Chai & Chat 258","Kolkata","4.40","1215.24","2","254","0.10","-2835.54"
82,"Chai & Chat 82","Bangalore","3.60","1187.64","1","255","0.10","-2863.14"
75,"The Hungry Panda 75","Delhi","3.10","1137.96","1","256","0.10","-2912.82"
178,"Kolkata Kitchen 178","Delhi","4.90","1137.91","1","257","0.10","-2912.87"
22,"Rasoi Ghar 22","Delhi","4.60","1116.89","1","258","0.09","-2933.89"
23,"Punjabi Dhaba 23","Bangalore","3.50","1091.50","2","259","0.09","-2959.28"
197,"Burger Factory 197","Bangalore","3.00","1080.04","1","260","0.09","-2970.74"
36,"Mughal Mahal 36","Delhi","4.80","1072.45","1","261","0.09","-2978.33"
29,"The Curry Leaf 29","Mumbai","4.00","1037.13","2","262","0.09","-3013.65"
68,"Bombay Bistro 68","Chennai","5.00","994.49","1","263","0.08","-3056.29"
30,"Mumbai Masala 30","Delhi","3.30","990.89","2","264","0.08","-3059.89"
283,"Taste of Punjab 283","Kolkata","4.90","937.88","1","265","0.08","-3112.90"
165,"Caf̩ Masaledar 165","Chennai","4.10","936.52","2","266","0.08","-3114.26"
5,"The Hungry Panda 5","Kolkata","4.10","887.08","2","267","0.07","-3163.70"
151,"The Curry Leaf 151","Bangalore","3.20","876.22","2","268","0.07","-3174.56"
153,"The Food Studio 153","Kolkata","3.30","872.21","1","269","0.07","-3178.57"
131,"Mughal Mahal 131","Chennai","4.40","820.54","1","270","0.07","-3230.24"
2,"The Curry Leaf 2","Mumbai","4.50","681.24","1","271","0.06","-3369.54"
279,"Mughal Mahal 279","Delhi","3.30","662.54","2","272","0.06","-3388.24"
241,"Biryani House 241","Mumbai","4.70","657.54","2","273","0.06","-3393.24"
282,"Chai & Chat 282","Delhi","4.70","590.52","2","274","0.05","-3460.26"
216,"Flavours of India 216","Mumbai","3.50","582.41","2","275","0.05","-3468.37"
42,"The Food Studio 42","Bangalore","3.10","579.90","2","276","0.05","-3470.88"
152,"Urban Tadka 152","Mumbai","3.70","575.60","2","277","0.05","-3475.18"
113,"Delhi Darbar 113","Chennai","3.60","568.12","1","278","0.05","-3482.66"
217,"Taste of Punjab 217","Chennai","4.60","558.00","2","279","0.05","-3492.78"
10,"Curry Kingdom 10","Bangalore","4.20","474.81","1","280","0.04","-3575.97"
114,"Biryani House 114","Bangalore","4.30","452.08","2","281","0.04","-3598.70"
246,"Tandoori Nights 246","Chennai","3.90","450.15","1","282","0.04","-3600.63"
262,"Urban Tadka 262","Kolkata","3.50","353.45","1","283","0.03","-3697.33"
273,"Madras Cafe 273","Mumbai","3.80","337.59","1","284","0.03","-3713.19"
76,"Biryani House 76","Mumbai","3.20","313.04","2","285","0.03","-3737.74"
271,"Chutney Express 271","Bangalore","4.50","309.44","1","286","0.03","-3741.34"
116,"Curry Kingdom 116","Bangalore","4.20","299.43","2","287","0.03","-3751.35"
106,"Punjabi Dhaba 106","Mumbai","3.00","233.75","1","288","0.02","-3817.03"
245,"Mughal Mahal 245","Bangalore","5.00","178.45","1","289","0.02","-3872.33"
189,"Bombay Bistro 189","Kolkata","3.50","172.20","1","290","0.01","-3878.58"
224,"Dragon Wok 224","Chennai","4.10","137.26","1","291","0.01","-3913.52"
57,"Punjabi Dhaba 57","Chennai","3.40","74.42","1","292","0.01","-3976.36"
65,"Chai & Chat 65","Kolkata","4.90","22.25","1","293","0.00","-4028.53"
